Year,Population
1960,3035055570
1961,3076120548
1962,3129063789
1963,3193947306
1964,3259354557
1965,3326054230
1966,3395866317
1967,3465297420
1968,3535511844
1969,3609910116
1970,3684996710
1971,3762289912
1972,3839015704
1973,3914800478
1974,3991194334
1975,4065954672
1976,4138731185
1977,4211259460
1978,4285061775
1979,4360572310
1980,4436734568
1981,4514655817
1982,4595487517
1983,4677020244
1984,4758310418
1985,4841376791
1986,4927207009
1987,5015267869
1988,5104205218
1989,5193123373
1990,5283057867
1991,5369889993
1992,5453473436
1993,5537776461
1994,5621146521
1995,5705843054
1996,5788596142
1997,5871549366
1998,5953672500
1999,6034911639
2000,6115444311
2001,6195589560
2002,6274734084
2003,6353976427
2004,6433748714
2005,6513959904
2006,6594722462
2007,6675832678
2008,6758302523
2009,6840955706
2010,6923684085
2011,7006907989
2012,7089451551
2013,7176092192
2014,7260780278
2015,7346633037
